fecha,valor_eur_mwh,concepto,tipo,variable_iseu,extraido_en
2025-03-01T09:30:00.000+01:00,72,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
2025-03-01T09:45:00.000+01:00,72,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
2025-03-01T10:00:00.000+01:00,54.63,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
2025-03-01T10:15:00.000+01:00,54.63,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
2025-03-01T10:30:00.000+01:00,54.63,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
2025-03-01T10:45:00.000+01:00,54.63,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
2025-03-01T11:00:00.000+01:00,45,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
2025-03-01T11:15:00.000+01:00,45,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
2025-03-01T11:30:00.000+01:00,45,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
2025-03-01T11:45:00.000+01:00,45,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
2025-03-01T12:00:00.000+01:00,40.1,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
2025-03-01T12:15:00.000+01:00,40.1,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
2025-03-01T12:30:00.000+01:00,40.1,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
2025-03-01T12:45:00.000+01:00,40.1,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
2025-03-01T13:00:00.000+01:00,39.68,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
2025-03-01T13:15:00.000+01:00,39.68,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
2025-03-01T13:30:00.000+01:00,39.68,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
2025-03-01T13:45:00.000+01:00,39.68,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
2025-03-01T14:00:00.000+01:00,35.3,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
2025-03-01T14:15:00.000+01:00,35.3,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
2025-03-01T14:30:00.000+01:00,35.3,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
2025-03-01T14:45:00.000+01:00,35.3,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
2025-03-01T15:00:00.000+01:00,31.73,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
2025-03-01T15:15:00.000+01:00,31.73,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
2025-03-01T15:30:00.000+01:00,31.73,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
2025-03-01T15:45:00.000+01:00,31.73,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
2025-03-01T16:00:00.000+01:00,34.75,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
2025-03-01T16:15:00.000+01:00,34.75,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
2025-03-01T16:30:00.000+01:00,34.75,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
