source,dataset,variable,metric,geo,raw_file,rows,min_period,max_period
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Coruña (A), La Coruña",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Coslada, Madrid",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Cuenca, Cuenca",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Culleredo, La Coruña",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Cáceres, Cáceres",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Cádiz, Cádiz",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Dos Hermanas, Sevilla",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Dénia, Alicante",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Eivissa, ILLES BALEARS",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Ejido (El), Almería",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Elche/Elx, Alicante",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Elda, Alicante",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Esplugues de Llobregat, Barcelona",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Estepona, Málaga",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Ferrol, La Coruña",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Figueres, Girona",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Fuengirola, Málaga",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Fuenlabrada, Madrid",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Galapagar, Madrid",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Gandia, Valencia",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Gavà, Barcelona",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Getafe, Madrid",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Getxo, Bizkaia",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Gijón, ASTURIAS",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Girona, Girona",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Granada, Granada",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Granadilla de Abona, Tenerife",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Granollers, Barcelona",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Guadalajara, Guadalajara",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Hospitalet de Llobregat (L'), Barcelona",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Huelva, Huelva",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
