dataset,column,non_null,nulls,null_pct,unique,numeric_non_null,key_like,recommended_action,reason,sample
bcn_licencias_limpio.csv,id_bcn_2016,40034,3966,9.01,40034,40034,True,conservar,Nulidad manejable o columna relevante.,45538.0 | 16649.0 | 23980.0
bcn_seguridad_limpio.csv,causa_conductor,7636,436,5.4,15,0,False,conservar,Nulidad manejable o columna relevante.,No respectar distàncies | Manca d'atenció a la conducció | No respectat pas de vianants
sepe_paro_limpio.csv,sector_servicios,93723,4433,4.52,3818,93723,False,conservar,Nulidad manejable o columna relevante.,117.0 | 876.0 | 30.0
sepe_paro_limpio.csv,paro_total,94982,3174,3.23,4393,94982,False,conservar,Nulidad manejable o columna relevante.,161.0 | 1132.0 | 35.0
bcn_equipamientos_limpio.csv,values_attribute_id,2676,46,1.69,10,2676,True,conservar,Nulidad manejable o columna relevante.,20001.0 | 20001.0 | 20001.0
bcn_equipamientos_limpio.csv,values_attribute_name,2676,46,1.69,10,0,True,conservar,Nulidad manejable o columna relevante.,Tel. | Tel. | Tel.
bcn_equipamientos_limpio.csv,values_category,2676,46,1.69,1,0,True,conservar,Nulidad manejable o columna relevante.,Telèfons | Telèfons | Telèfons
bcn_equipamientos_limpio.csv,values_id,2676,46,1.69,1953,2676,True,conservar,Nulidad manejable o columna relevante.,635388.0 | 145599.0 | 145599.0
bcn_equipamientos_limpio.csv,values_outstanding,2676,46,1.69,2,2676,True,conservar,Nulidad manejable o columna relevante.,True | True | True
bcn_equipamientos_limpio.csv,values_value,2676,46,1.69,1862,1981,True,conservar,Nulidad manejable o columna relevante.,93 200 11 33 | 934368827 | 934368827
indicadores_limpios.csv,unit,250891,3126,1.23,6,0,False,conservar,Nulidad manejable o columna relevante.,EUR/MWh | EUR/MWh | EUR/MWh
bcn_zonas_verdes_limpio.csv,cat_nom_catala,33002,387,1.16,315,0,False,conservar,Nulidad manejable o columna relevante.,Pollancre gavatx | - | -
bcn_zonas_verdes_limpio.csv,cat_nom_castella,33036,353,1.06,326,0,False,conservar,Nulidad manejable o columna relevante.,Chopo lombardo | - | -
bcn_zonas_verdes_limpio.csv,espai_verd,33087,302,0.9,154,0,False,conservar,Nulidad manejable o columna relevante.,"Central de Nou Barris, Parc | Central de Nou Barris, Parc | Central de Nou Barris, Parc"
indicadores_limpios.csv,extracted_at,251963,2054,0.81,95,0,False,conservar,Nulidad manejable o columna relevante.,2026-05-14T00:48:52 | 2026-05-14T00:48:52 | 2026-05-14T00:48:52
sepe_contratos_limpio.csv,codigo_municipio,96923,615,0.63,8135,96923,True,conservar,Nulidad manejable o columna relevante.,15001.0 | 15002.0 | 15003.0
sepe_paro_limpio.csv,codigo_municipio,97533,623,0.63,8135,97533,True,conservar,Nulidad manejable o columna relevante.,15001.0 | 15002.0 | 15003.0
mitma_precio_m2_vivienda_limpio.csv,precio_m2_eur,24249,117,0.48,14907,24249,True,conservar,Nulidad manejable o columna relevante.,1477.4 | 1484.0 | 1145.8
bcn_turismo_limpio.csv,addresses_start_street_number,444,2,0.45,209,444,False,conservar,Nulidad manejable o columna relevante.,21.0 | 76.0 | 32.0
bcn_turismo_limpio.csv,values_attribute_id,444,2,0.45,6,444,True,conservar,Nulidad manejable o columna relevante.,20003.0 | 20003.0 | 20003.0
bcn_turismo_limpio.csv,values_attribute_name,444,2,0.45,6,0,True,conservar,Nulidad manejable o columna relevante.,Centraleta | Centraleta | Centraleta
bcn_turismo_limpio.csv,values_category,444,2,0.45,1,0,True,conservar,Nulidad manejable o columna relevante.,Telèfons | Telèfons | Telèfons
bcn_turismo_limpio.csv,values_id,444,2,0.45,444,444,True,conservar,Nulidad manejable o columna relevante.,139374.0 | 148679.0 | 139753.0
bcn_turismo_limpio.csv,values_outstanding,444,2,0.45,2,444,True,conservar,Nulidad manejable o columna relevante.,True | True | True
bcn_turismo_limpio.csv,values_value,444,2,0.45,436,394,True,conservar,Nulidad manejable o columna relevante.,933223215 | 934875989 | 932183355
bcn_zonas_verdes_limpio.csv,categoria_arbrat,33323,66,0.2,4,0,False,conservar,Nulidad manejable o columna relevante.,SEGONA | PRIMERA | PRIMERA
bcn_licencias_limpio.csv,porta,43918,82,0.19,104,43918,False,conservar,Nulidad manejable o columna relevante.,30.0 | 10.0 | 10.0
bcn_equipamientos_limpio.csv,addresses_district_name,2717,5,0.18,10,0,False,conservar,Nulidad manejable o columna relevante.,Sarrià-Sant Gervasi | Horta-Guinardó | Horta-Guinardó
bcn_equipamientos_limpio.csv,addresses_neighborhood_name,2717,5,0.18,73,0,False,conservar,Nulidad manejable o columna relevante.,Sant Gervasi - Galvany | el Guinardó | el Guinardó
bcn_equipamientos_limpio.csv,addresses_zip_code,2717,5,0.18,43,2717,False,conservar,Nulidad manejable o columna relevante.,8021.0 | 8041.0 | 8041.0
bcn_equipamientos_limpio.csv,addresses_district_id,2718,4,0.15,11,2718,True,conservar,Nulidad manejable o columna relevante.,5.0 | 7.0 | 7.0
bcn_equipamientos_limpio.csv,addresses_neighborhood_id,2718,4,0.15,74,2718,True,conservar,Nulidad manejable o columna relevante.,26.0 | 35.0 | 35.0
bcn_equipamientos_limpio.csv,addresses_road_id,2718,4,0.15,847,2718,True,conservar,Nulidad manejable o columna relevante.,278404.0 | 367402.0 | 367402.0
bcn_equipamientos_limpio.csv,addresses_road_name,2718,4,0.15,1149,0,False,conservar,Nulidad manejable o columna relevante.,Carrer de la Reina Victòria | Rambla de Volart | Rambla de Volart
bcn_equipamientos_limpio.csv,addresses_start_street_number,2718,4,0.15,402,2718,False,conservar,Nulidad manejable o columna relevante.,8.0 | 79.0 | 79.0
ine_limpio.csv,fecha,1058,1,0.09,259,0,True,conservar,Nulidad manejable o columna relevante.,2005-12-31 23:00:00 | 2006-01-31 23:00:00 | 2006-02-28 23:00:00
bcn_equipamientos_limpio.csv,addresses_town,2721,1,0.04,3,0,False,conservar,Nulidad manejable o columna relevante.,Barcelona | Barcelona | Barcelona
bcn_equipamientos_limpio.csv,geo_epgs_25831_x,2721,1,0.04,1816,2721,True,conservar,Nulidad manejable o columna relevante.,428092.938 | 431095.828 | 431095.828
bcn_equipamientos_limpio.csv,geo_epgs_25831_y,2721,1,0.04,1815,2721,True,conservar,Nulidad manejable o columna relevante.,4583193.044 | 4585391.379 | 4585391.379
bcn_equipamientos_limpio.csv,geo_epgs_4326_lat,2721,1,0.04,1816,2721,True,conservar,Nulidad manejable o columna relevante.,41.3970607319763 | 41.417123318291125 | 41.417123318291125
bcn_equipamientos_limpio.csv,geo_epgs_4326_lon,2721,1,0.04,1816,2721,True,conservar,Nulidad manejable o columna relevante.,2.1398183076058688 | 2.175486170509417 | 2.175486170509417
bcn_licencias_limpio.csv,num_policia_final,43991,9,0.02,876,43991,False,conservar,Nulidad manejable o columna relevante.,88.0 | 640.0 | 90.0
bcn_zonas_verdes_limpio.csv,tipus_reg,33387,2,0.01,9,0,False,conservar,Nulidad manejable o columna relevante.,GOTEIG AVARIAT | GOTEIG AVARIAT | GOTEIG AVARIAT
bcn_aire_limpio.csv,dataset_key,15041,0,0.0,1,0,True,conservar,Nulidad manejable o columna relevante.,bcn_aire | bcn_aire | bcn_aire
