dataset,column,dtype,non_null,nulls,null_pct,unique,numeric_non_null,sample
bcn_licencias_limpio.csv,sn_oci_nocturn,str,44000,0,0.0,2,0,No | No | No
bcn_licencias_limpio.csv,id,int64,44000,0,0.0,44000,44000,1 | 2 | 3
bcn_licencias_limpio.csv,data_revisio,str,44000,0,0.0,292,0,2023-05-16T00:00:00 | 2023-03-13T00:00:00 | 2023-07-05T00:00:00
bcn_licencias_limpio.csv,variable_iseu,str,44000,0,0.0,1,0,Licencias comerciales | Licencias comerciales | Licencias comerciales
bcn_licencias_limpio.csv,dataset_key,str,44000,0,0.0,1,0,bcn_licencias | bcn_licencias | bcn_licencias
bcn_licencias_limpio.csv,extraido_en,str,44000,0,0.0,1,0,2026-05-14T00:49:51 | 2026-05-14T00:49:51 | 2026-05-14T00:49:51
bcn_movilidad_limpio.csv,electricalbikesinusage,int64,8055,0,0.0,23,8055,0 | 0 | 0
bcn_movilidad_limpio.csv,bikesinusage,int64,8055,0,0.0,743,8055,50 | 47 | 50
bcn_movilidad_limpio.csv,datetime,str,8055,0,0.0,8055,0,2019-01-01T00:00:11 | 2019-01-01T00:05:12 | 2019-01-01T00:10:12
bcn_movilidad_limpio.csv,mechanicalbikesinusage,int64,8055,0,0.0,744,8055,50 | 47 | 50
bcn_movilidad_limpio.csv,error,int64,8055,0,0.0,1,8055,0 | 0 | 0
bcn_movilidad_limpio.csv,id,int64,8055,0,0.0,8055,8055,1 | 2 | 3
bcn_movilidad_limpio.csv,variable_iseu,str,8055,0,0.0,1,0,Movilidad urbana | Movilidad urbana | Movilidad urbana
bcn_movilidad_limpio.csv,dataset_key,str,8055,0,0.0,1,0,bcn_movilidad | bcn_movilidad | bcn_movilidad
bcn_movilidad_limpio.csv,extraido_en,str,8055,0,0.0,1,0,2026-05-14T00:49:25 | 2026-05-14T00:49:25 | 2026-05-14T00:49:25
bcn_poblacion_limpio.csv,codi_districte,int64,2136,0,0.0,10,2136,1 | 1 | 1
bcn_poblacion_limpio.csv,sexe,int64,2136,0,0.0,2,2136,1 | 2 | 1
bcn_poblacion_limpio.csv,nom_districte,str,2136,0,0.0,10,0,Ciutat Vella | Ciutat Vella | Ciutat Vella
bcn_poblacion_limpio.csv,codi_barri,int64,2136,0,0.0,73,2136,1 | 1 | 1
bcn_poblacion_limpio.csv,nom_barri,str,2136,0,0.0,73,0,el Raval | el Raval | el Raval
bcn_poblacion_limpio.csv,aeb,int64,2136,0,0.0,233,2136,1 | 1 | 1
bcn_poblacion_limpio.csv,seccio_censal,int64,2136,0,0.0,1068,2136,1001 | 1001 | 1002
